clean_file,transcript,noisy_file
data/clean/MLEL0_SI1246.WAV.wav,he was thus an early and spectacular victim,data/noisy/MLEL0_SI1246.WAV.wav
data/clean/MLEL0_SI616.WAV.wav,he injected more vitality into the score than it has revealed in many years,data/noisy/MLEL0_SI616.WAV.wav
data/clean/MLEL0_SX436.WAV.wav,please sing just the club theme,data/noisy/MLEL0_SX436.WAV.wav
data/clean/MLEL0_SX346.WAV.wav,the barracuda recoiled from the serpent's poisonous fangs,data/noisy/MLEL0_SX346.WAV.wav
data/clean/MLEL0_SX166.WAV.wav,biologists use radioactive isotopes to study microorganisms,data/noisy/MLEL0_SX166.WAV.wav
data/clean/MLEL0_SX76.WAV.wav,gently place jim's foam sculpture in the box,data/noisy/MLEL0_SX76.WAV.wav
data/clean/MLEL0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MLEL0_SA1.WAV.wav
data/clean/MLEL0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MLEL0_SA2.WAV.wav
data/clean/MLEL0_SI1876.WAV.wav,a voice spoke nearathand,data/noisy/MLEL0_SI1876.WAV.wav
data/clean/FEEH0_SX212.WAV.wav,i gave them several choices and let them set the priorities,data/noisy/FEEH0_SX212.WAV.wav
data/clean/FEEH0_SI1742.WAV.wav,with her sharp tongue she'd have cut his pompousness to ribbons,data/noisy/FEEH0_SI1742.WAV.wav
data/clean/FEEH0_SX302.WAV.wav,tofu is made from processed soybeans,data/noisy/FEEH0_SX302.WAV.wav
data/clean/FEEH0_SI471.WAV.wav,suddenly my reflexes are gone,data/noisy/FEEH0_SI471.WAV.wav
data/clean/FEEH0_SX32.WAV.wav,it's fun to roast marshmallows on a gas burner,data/noisy/FEEH0_SX32.WAV.wav
data/clean/FEEH0_SX122.WAV.wav,encyclopedias seldom present anecdotal evidence,data/noisy/FEEH0_SX122.WAV.wav
data/clean/FEEH0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/FEEH0_SA1.WAV.wav
data/clean/FEEH0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/FEEH0_SA2.WAV.wav
data/clean/FEEH0_SX392.WAV.wav,a young mouse scampered across the field and disappeared,data/noisy/FEEH0_SX392.WAV.wav
data/clean/FEEH0_SI1112.WAV.wav,he will say that our country is even now a homogeneous community,data/noisy/FEEH0_SI1112.WAV.wav
data/clean/MFWK0_SI1879.WAV.wav,that touched off a total stampede,data/noisy/MFWK0_SI1879.WAV.wav
data/clean/MFWK0_SI1249.WAV.wav,maybe twenty thirty fifty,data/noisy/MFWK0_SI1249.WAV.wav
data/clean/MFWK0_SI619.WAV.wav,he praises many individuals generously,data/noisy/MFWK0_SI619.WAV.wav
data/clean/MFWK0_SX259.WAV.wav,tornados often destroy acres of farm land,data/noisy/MFWK0_SX259.WAV.wav
data/clean/MFWK0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MFWK0_SA1.WAV.wav
data/clean/MFWK0_SX79.WAV.wav,will you please describe the idiotic predicament,data/noisy/MFWK0_SX79.WAV.wav
data/clean/MFWK0_SX169.WAV.wav,how would you evaluate this algebraic expression,data/noisy/MFWK0_SX169.WAV.wav
data/clean/MFWK0_SX349.WAV.wav,the preschooler couldn't verbalize her feelings about the emergency conditions,data/noisy/MFWK0_SX349.WAV.wav
data/clean/MFWK0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MFWK0_SA2.WAV.wav
data/clean/MFWK0_SX439.WAV.wav,that stinging vapor was caused by chloride vaporization,data/noisy/MFWK0_SX439.WAV.wav
data/clean/MKAM0_SX326.WAV.wav,steve collects rare and novel coins,data/noisy/MKAM0_SX326.WAV.wav
data/clean/MKAM0_SX236.WAV.wav,clear pronunciation is appreciated,data/noisy/MKAM0_SX236.WAV.wav
data/clean/MKAM0_SI1250.WAV.wav,evidence that other sources of financing are unavailable must be provided,data/noisy/MKAM0_SI1250.WAV.wav
data/clean/MKAM0_SI1316.WAV.wav,space probes have yielded little information,data/noisy/MKAM0_SI1316.WAV.wav
data/clean/MKAM0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MKAM0_SA1.WAV.wav
data/clean/MKAM0_SX56.WAV.wav,academic aptitude guarantees your diploma,data/noisy/MKAM0_SX56.WAV.wav
data/clean/MKAM0_SX146.WAV.wav,cyclical programs will never compile,data/noisy/MKAM0_SX146.WAV.wav
data/clean/MKAM0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MKAM0_SA2.WAV.wav
data/clean/MKAM0_SX416.WAV.wav,a huge power outage rarely occurs,data/noisy/MKAM0_SX416.WAV.wav
data/clean/MKAM0_SI1465.WAV.wav,this process is especially difficult since gyro drifting is typically random,data/noisy/MKAM0_SI1465.WAV.wav
data/clean/MSMS0_SI2063.WAV.wav,to his surprise his plan worked perfectly,data/noisy/MSMS0_SI2063.WAV.wav
data/clean/MSMS0_SI803.WAV.wav,insulate weatherstrip doubleglaze to the maximum,data/noisy/MSMS0_SI803.WAV.wav
data/clean/MSMS0_SX83.WAV.wav,my instructions desperately need updating,data/noisy/MSMS0_SX83.WAV.wav
data/clean/MSMS0_SX263.WAV.wav,how oily do you like your salad dressing,data/noisy/MSMS0_SX263.WAV.wav
data/clean/MSMS0_SI1433.WAV.wav,while one element is announcing progress another is delineating its problems,data/noisy/MSMS0_SI1433.WAV.wav
data/clean/MSMS0_SX173.WAV.wav,whoever cooperates in finding nan's cameo will be rewarded,data/noisy/MSMS0_SX173.WAV.wav
data/clean/MSMS0_SX353.WAV.wav,a connoisseur will enjoy this shellfish dish,data/noisy/MSMS0_SX353.WAV.wav
data/clean/MSMS0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MSMS0_SA1.WAV.wav
data/clean/MSMS0_SX443.WAV.wav,a lone star shone in the early evening sky,data/noisy/MSMS0_SX443.WAV.wav
data/clean/MSMS0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MSMS0_SA2.WAV.wav
data/clean/MGJC0_SX435.WAV.wav,the rich should invest in black zircons instead of stylish shoes,data/noisy/MGJC0_SX435.WAV.wav
data/clean/MGJC0_SX345.WAV.wav,trish saw hours and hours of movies saturday,data/noisy/MGJC0_SX345.WAV.wav
data/clean/MGJC0_SX75.WAV.wav,fill that canteen with fresh spring water,data/noisy/MGJC0_SX75.WAV.wav
data/clean/MGJC0_SX165.WAV.wav,the easygoing zoologist relaxed throughout the voyage,data/noisy/MGJC0_SX165.WAV.wav
data/clean/MGJC0_SI1256.WAV.wav,origin of state automobile practices,data/noisy/MGJC0_SI1256.WAV.wav
data/clean/MGJC0_SX255.WAV.wav,my ideal morning begins with hot coffee,data/noisy/MGJC0_SX255.WAV.wav
data/clean/MGJC0_SI1335.WAV.wav,inflammatory cells were strikingly absent,data/noisy/MGJC0_SI1335.WAV.wav
data/clean/MGJC0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MGJC0_SA1.WAV.wav
data/clean/MGJC0_SI1965.WAV.wav,if the other pilots were worried they did not show it,data/noisy/MGJC0_SI1965.WAV.wav
data/clean/MGJC0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MGJC0_SA2.WAV.wav
data/clean/FLKM0_SX260.WAV.wav,remember to allow identical twins to enter freely,data/noisy/FLKM0_SX260.WAV.wav
data/clean/FLKM0_SX116.WAV.wav,clasp the screw in your left hand,data/noisy/FLKM0_SX116.WAV.wav
data/clean/FLKM0_SX80.WAV.wav,it's illegal to postdate a check,data/noisy/FLKM0_SX80.WAV.wav
data/clean/FLKM0_SI620.WAV.wav,his portrayal of an edgy headintheclouds artist is virtually flawless,data/noisy/FLKM0_SI620.WAV.wav
data/clean/FLKM0_SI1880.WAV.wav,he picked up the powder canister and ran out,data/noisy/FLKM0_SI1880.WAV.wav
data/clean/FLKM0_SI686.WAV.wav,others were ephemeral,data/noisy/FLKM0_SI686.WAV.wav
data/clean/FLKM0_SX440.WAV.wav,the advertising verse of plymouth variety store never changes,data/noisy/FLKM0_SX440.WAV.wav
data/clean/FLKM0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/FLKM0_SA1.WAV.wav
data/clean/FLKM0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/FLKM0_SA2.WAV.wav
data/clean/FLKM0_SX350.WAV.wav,many wealthy tycoons splurged and bought both a yacht and a schooner,data/noisy/FLKM0_SX350.WAV.wav
data/clean/MMGC0_SI2184.WAV.wav,either that or a veterinarian,data/noisy/MMGC0_SI2184.WAV.wav
data/clean/MMGC0_SX225.WAV.wav,keep the thermometer under your tongue,data/noisy/MMGC0_SX225.WAV.wav
data/clean/MMGC0_SI1935.WAV.wav,in my place you'd follow such advice as you give me,data/noisy/MMGC0_SI1935.WAV.wav
data/clean/MMGC0_SX45.WAV.wav,addition and subtraction are learned skills,data/noisy/MMGC0_SX45.WAV.wav
data/clean/MMGC0_SX405.WAV.wav,of course you can have another tunafish sandwich,data/noisy/MMGC0_SX405.WAV.wav
data/clean/MMGC0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MMGC0_SA1.WAV.wav
data/clean/MMGC0_SX315.WAV.wav,bob found more clams at the ocean's edge,data/noisy/MMGC0_SX315.WAV.wav
data/clean/MMGC0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MMGC0_SA2.WAV.wav
data/clean/MMGC0_SX135.WAV.wav,technical writers can abbreviate in bibliographies,data/noisy/MMGC0_SX135.WAV.wav
data/clean/MMGC0_SI1305.WAV.wav,if they are not ellipsoids the conclusions will be a reasonable approximation,data/noisy/MMGC0_SI1305.WAV.wav
data/clean/MJXL0_SX362.WAV.wav,the annoying raccoons slipped into phil's garden every night,data/noisy/MJXL0_SX362.WAV.wav
data/clean/MJXL0_SX272.WAV.wav,allow each child to have an ice pop,data/noisy/MJXL0_SX272.WAV.wav
data/clean/MJXL0_SX182.WAV.wav,thick glue oozed out of the tube,data/noisy/MJXL0_SX182.WAV.wav
data/clean/MJXL0_SX92.WAV.wav,a large household needs lots of appliances,data/noisy/MJXL0_SX92.WAV.wav
data/clean/MJXL0_SI1172.WAV.wav,he was busy he said in having someone submit to a monkeygland operation,data/noisy/MJXL0_SI1172.WAV.wav
data/clean/MJXL0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MJXL0_SA1.WAV.wav
data/clean/MJXL0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MJXL0_SA2.WAV.wav
data/clean/MJXL0_SI542.WAV.wav,she came back the other day to reassure me,data/noisy/MJXL0_SI542.WAV.wav
data/clean/MJXL0_SI1795.WAV.wav,he shrugged casually,data/noisy/MJXL0_SI1795.WAV.wav
data/clean/MJXL0_SX452.WAV.wav,in developing film many toxic chemicals are used,data/noisy/MJXL0_SX452.WAV.wav
data/clean/MMBS0_SI1781.WAV.wav,the shadow vanished,data/noisy/MMBS0_SI1781.WAV.wav
data/clean/MMBS0_SI1151.WAV.wav,for what do the utopians labor,data/noisy/MMBS0_SI1151.WAV.wav
data/clean/MMBS0_SX251.WAV.wav,we apply auditory modeling to computer speech recognition,data/noisy/MMBS0_SX251.WAV.wav
data/clean/MMBS0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MMBS0_SA1.WAV.wav
data/clean/MMBS0_SX341.WAV.wav,the high security prison was surrounded by barbed wire,data/noisy/MMBS0_SX341.WAV.wav
data/clean/MMBS0_SX431.WAV.wav,the fifth jar contains big juicy peaches,data/noisy/MMBS0_SX431.WAV.wav
data/clean/MMBS0_SI521.WAV.wav,traffic frequently has failed to measure up to engineers' rosy estimates,data/noisy/MMBS0_SI521.WAV.wav
data/clean/MMBS0_SX71.WAV.wav,porcupines resemble sea urchins,data/noisy/MMBS0_SX71.WAV.wav
data/clean/MMBS0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MMBS0_SA2.WAV.wav
data/clean/MMBS0_SX161.WAV.wav,as a precaution the outlaws bought gunpowder for their stronghold,data/noisy/MMBS0_SX161.WAV.wav
data/clean/MTQC0_SX91.WAV.wav,the misprint provoked an immediate disclaimer,data/noisy/MTQC0_SX91.WAV.wav
data/clean/MTQC0_SX271.WAV.wav,be careful not to plow over the flower beds,data/noisy/MTQC0_SX271.WAV.wav
data/clean/MTQC0_SX181.WAV.wav,rich looked for spotted hyenas and jaguars on the safari,data/noisy/MTQC0_SX181.WAV.wav
data/clean/MTQC0_SI2071.WAV.wav,yeah but what're we gonna eat,data/noisy/MTQC0_SI2071.WAV.wav
data/clean/MTQC0_SX361.WAV.wav,the speech symposium might begin monday,data/noisy/MTQC0_SX361.WAV.wav
data/clean/MTQC0_SI1441.WAV.wav,other morphological physical and optical property values are also given,data/noisy/MTQC0_SI1441.WAV.wav
data/clean/MTQC0_SX451.WAV.wav,the thick elm forest was nearly overwhelmed by dutch elm disease,data/noisy/MTQC0_SX451.WAV.wav
data/clean/MTQC0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MTQC0_SA1.WAV.wav
data/clean/MTQC0_SI480.WAV.wav,range was a vital detail,data/noisy/MTQC0_SI480.WAV.wav
data/clean/MTQC0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MTQC0_SA2.WAV.wav
data/clean/MBWP0_SI1969.WAV.wav,if any of us miss they can pick up the pieces,data/noisy/MBWP0_SI1969.WAV.wav
data/clean/MBWP0_SX259.WAV.wav,tornados often destroy acres of farm land,data/noisy/MBWP0_SX259.WAV.wav
data/clean/MBWP0_SI1531.WAV.wav,who is going to stop me,data/noisy/MBWP0_SI1531.WAV.wav
data/clean/MBWP0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MBWP0_SA1.WAV.wav
data/clean/MBWP0_SI709.WAV.wav,avocados however are very rich in nutrients,data/noisy/MBWP0_SI709.WAV.wav
data/clean/MBWP0_SX79.WAV.wav,will you please describe the idiotic predicament,data/noisy/MBWP0_SX79.WAV.wav
data/clean/MBWP0_SX169.WAV.wav,how would you evaluate this algebraic expression,data/noisy/MBWP0_SX169.WAV.wav
data/clean/MBWP0_SX349.WAV.wav,the preschooler couldn't verbalize her feelings about the emergency conditions,data/noisy/MBWP0_SX349.WAV.wav
data/clean/MBWP0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MBWP0_SA2.WAV.wav
data/clean/MBWP0_SX439.WAV.wav,that stinging vapor was caused by chloride vaporization,data/noisy/MBWP0_SX439.WAV.wav
data/clean/MFRM0_SX435.WAV.wav,the rich should invest in black zircons instead of stylish shoes,data/noisy/MFRM0_SX435.WAV.wav
data/clean/MFRM0_SX345.WAV.wav,trish saw hours and hours of movies saturday,data/noisy/MFRM0_SX345.WAV.wav
data/clean/MFRM0_SX75.WAV.wav,fill that canteen with fresh spring water,data/noisy/MFRM0_SX75.WAV.wav
data/clean/MFRM0_SX165.WAV.wav,the easygoing zoologist relaxed throughout the voyage,data/noisy/MFRM0_SX165.WAV.wav
data/clean/MFRM0_SI1717.WAV.wav,lullaby and goodnight his voice shook,data/noisy/MFRM0_SI1717.WAV.wav
data/clean/MFRM0_SX255.WAV.wav,my ideal morning begins with hot coffee,data/noisy/MFRM0_SX255.WAV.wav
data/clean/MFRM0_SI1155.WAV.wav,his problem concerns longitudes latitudes and angular velocities,data/noisy/MFRM0_SI1155.WAV.wav
data/clean/MFRM0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MFRM0_SA1.WAV.wav
data/clean/MFRM0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MFRM0_SA2.WAV.wav
data/clean/MFRM0_SI1785.WAV.wav,on the bare floorboards a man lay face down,data/noisy/MFRM0_SI1785.WAV.wav
data/clean/MJRH0_SX225.WAV.wav,keep the thermometer under your tongue,data/noisy/MJRH0_SX225.WAV.wav
data/clean/MJRH0_SI1755.WAV.wav,only then did he decide he didn't want one,data/noisy/MJRH0_SI1755.WAV.wav
data/clean/MJRH0_SX45.WAV.wav,addition and subtraction are learned skills,data/noisy/MJRH0_SX45.WAV.wav
data/clean/MJRH0_SX405.WAV.wav,of course you can have another tunafish sandwich,data/noisy/MJRH0_SX405.WAV.wav
data/clean/MJRH0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MJRH0_SA1.WAV.wav
data/clean/MJRH0_SI1125.WAV.wav,but in every period it has been humanism,data/noisy/MJRH0_SI1125.WAV.wav
data/clean/MJRH0_SX315.WAV.wav,bob found more clams at the ocean's edge,data/noisy/MJRH0_SX315.WAV.wav
data/clean/MJRH0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MJRH0_SA2.WAV.wav
data/clean/MJRH0_SX135.WAV.wav,technical writers can abbreviate in bibliographies,data/noisy/MJRH0_SX135.WAV.wav
data/clean/MJRH0_SI1840.WAV.wav,the good man chortled appreciatively and decided the trip was worth his time,data/noisy/MJRH0_SI1840.WAV.wav
data/clean/MLSH0_SX337.WAV.wav,bob bandaged both wounds with the skill of a doctor,data/noisy/MLSH0_SX337.WAV.wav
data/clean/MLSH0_SX247.WAV.wav,the cigarettes in the clay ashtray overflowed onto the oak table,data/noisy/MLSH0_SX247.WAV.wav
data/clean/MLSH0_SX67.WAV.wav,last year's gas shortage caused steep price increases,data/noisy/MLSH0_SX67.WAV.wav
data/clean/MLSH0_SX427.WAV.wav,every cab needs repainting often,data/noisy/MLSH0_SX427.WAV.wav
data/clean/MLSH0_SI2047.WAV.wav,stay right here where you are kid he called,data/noisy/MLSH0_SI2047.WAV.wav
data/clean/MLSH0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MLSH0_SA1.WAV.wav
data/clean/MLSH0_SX157.WAV.wav,remove the splinter with a pair of tweezers,data/noisy/MLSH0_SX157.WAV.wav
data/clean/MLSH0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MLSH0_SA2.WAV.wav
data/clean/MLSH0_SI787.WAV.wav,feed pressure is also of major importance,data/noisy/MLSH0_SI787.WAV.wav
data/clean/MLSH0_SI1417.WAV.wav,there should be no reason to misinterpret or ignore the intent of this letter,data/noisy/MLSH0_SI1417.WAV.wav
data/clean/MTAS0_SI1385.WAV.wav,markets should become more competitive as consumers become more selective,data/noisy/MTAS0_SI1385.WAV.wav
data/clean/MTAS0_SX395.WAV.wav,i took her word for it but is she really going with you,data/noisy/MTAS0_SX395.WAV.wav
data/clean/MTAS0_SX215.WAV.wav,the sermon emphasized the need for affirmative action,data/noisy/MTAS0_SX215.WAV.wav
data/clean/MTAS0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MTAS0_SA1.WAV.wav
data/clean/MTAS0_SI2015.WAV.wav,the lifeboats were stuck fast,data/noisy/MTAS0_SI2015.WAV.wav
data/clean/MTAS0_SX305.WAV.wav,cottage cheese with chives is delicious,data/noisy/MTAS0_SX305.WAV.wav
data/clean/MTAS0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MTAS0_SA2.WAV.wav
data/clean/MTAS0_SX125.WAV.wav,westchester is a county in new york,data/noisy/MTAS0_SX125.WAV.wav
data/clean/MTAS0_SX35.WAV.wav,help celebrate your brother's success,data/noisy/MTAS0_SX35.WAV.wav
data/clean/MTAS0_SI755.WAV.wav,equipment basic pottery studio equipment,data/noisy/MTAS0_SI755.WAV.wav
data/clean/MLJC0_SI595.WAV.wav,their privations are almost beyond endurance,data/noisy/MLJC0_SI595.WAV.wav
data/clean/MLJC0_SI1225.WAV.wav,the tragic stage is a platform extending precariously between heaven and hell,data/noisy/MLJC0_SI1225.WAV.wav
data/clean/MLJC0_SI1855.WAV.wav,people never live forever,data/noisy/MLJC0_SI1855.WAV.wav
data/clean/MLJC0_SX235.WAV.wav,i itemize all accounts in my agency,data/noisy/MLJC0_SX235.WAV.wav
data/clean/MLJC0_SX325.WAV.wav,the full moon shone brightly that night,data/noisy/MLJC0_SX325.WAV.wav
data/clean/MLJC0_SX145.WAV.wav,too much curiosity can get you into trouble,data/noisy/MLJC0_SX145.WAV.wav
data/clean/MLJC0_SX55.WAV.wav,the lack of heat compounded the tenant's grievances,data/noisy/MLJC0_SX55.WAV.wav
data/clean/MLJC0_SX415.WAV.wav,move the garbage nearer to the large window,data/noisy/MLJC0_SX415.WAV.wav
data/clean/MLJC0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MLJC0_SA1.WAV.wav
data/clean/MLJC0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MLJC0_SA2.WAV.wav
data/clean/MJSR0_SX164.WAV.wav,curiosity and mediocrity seldom coexist,data/noisy/MJSR0_SX164.WAV.wav
data/clean/MJSR0_SI1424.WAV.wav,it had assumed the terrifying inertia of inanimate matter,data/noisy/MJSR0_SI1424.WAV.wav
data/clean/MJSR0_SX74.WAV.wav,an official deadline cannot be postponed,data/noisy/MJSR0_SX74.WAV.wav
data/clean/MJSR0_SX434.WAV.wav,each stag surely finds a big fawn,data/noisy/MJSR0_SX434.WAV.wav
data/clean/MJSR0_SI2054.WAV.wav,he slipped outside hugging the walls of buildings and dodging into doorways,data/noisy/MJSR0_SI2054.WAV.wav
data/clean/MJSR0_SX344.WAV.wav,i know i didn't meet her early enough,data/noisy/MJSR0_SX344.WAV.wav
data/clean/MJSR0_SX254.WAV.wav,do they allow atheists in church,data/noisy/MJSR0_SX254.WAV.wav
data/clean/MJSR0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MJSR0_SA1.WAV.wav
data/clean/MJSR0_SI794.WAV.wav,you should firmly insist that no bobby pins or hair pins be worn in the water,data/noisy/MJSR0_SI794.WAV.wav
data/clean/MJSR0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MJSR0_SA2.WAV.wav
data/clean/MJAC0_SX251.WAV.wav,we apply auditory modeling to computer speech recognition,data/noisy/MJAC0_SX251.WAV.wav
data/clean/MJAC0_SI1331.WAV.wav,no fasciculations or sensory defects were found,data/noisy/MJAC0_SI1331.WAV.wav
data/clean/MJAC0_SI2148.WAV.wav,look somewhere else,data/noisy/MJAC0_SI2148.WAV.wav
data/clean/MJAC0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MJAC0_SA1.WAV.wav
data/clean/MJAC0_SX307.WAV.wav,the meeting is now adjourned,data/noisy/MJAC0_SX307.WAV.wav
data/clean/MJAC0_SX341.WAV.wav,the high security prison was surrounded by barbed wire,data/noisy/MJAC0_SX341.WAV.wav
data/clean/MJAC0_SX431.WAV.wav,the fifth jar contains big juicy peaches,data/noisy/MJAC0_SX431.WAV.wav
data/clean/MJAC0_SX71.WAV.wav,porcupines resemble sea urchins,data/noisy/MJAC0_SX71.WAV.wav
data/clean/MJAC0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MJAC0_SA2.WAV.wav
data/clean/MJAC0_SI701.WAV.wav,there are people who travel long distances to assure my continued existence,data/noisy/MJAC0_SI701.WAV.wav
data/clean/FCAG0_SI1641.WAV.wav,were you in love with that girl,data/noisy/FCAG0_SI1641.WAV.wav
data/clean/FCAG0_SX153.WAV.wav,scholastic aptitude is judged by standardized tests,data/noisy/FCAG0_SX153.WAV.wav
data/clean/FCAG0_SI1503.WAV.wav,by the look of him he wasn't that far gone,data/noisy/FCAG0_SI1503.WAV.wav
data/clean/FCAG0_SI2133.WAV.wav,here they did not need to be in ghettos,data/noisy/FCAG0_SI2133.WAV.wav
data/clean/FCAG0_SX63.WAV.wav,continental drift is a geological theory,data/noisy/FCAG0_SX63.WAV.wav
data/clean/FCAG0_SX423.WAV.wav,smash lightbulbs and their cash value will diminish to nothing,data/noisy/FCAG0_SX423.WAV.wav
data/clean/FCAG0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/FCAG0_SA1.WAV.wav
